Member State,Card ID,Descriptor of the value chain,Reference mountain chain,Reference mountain landscape,LAU,Centroid,Shape
AUSTRIA,VC_01_AT,ALMO alp oxen,"RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
AUSTRIA,VC_02_AT,Almenland Stollenkäse (transl.: Almenland mining tunnel cheese),"RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
AUSTRIA,VC_03_AT,Almenland Herbs,"RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
AUSTRIA,VC_04_AT,Almenland Fish,"RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
AUSTRIA,VC_05_AT,Almenland Honey,"RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
AUSTRIA,VC_06_AT,Almenland Schnaps,"RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
AUSTRIA,VC_07_AT,Holzwelt Murau (transl.: “World of wood“ Murau),"RR 11, Austrian Alps",Murau (No: 614),LAU 1 not used in Austria – Scale therefore is „District“,POINT (14.196730069827513 47.100167118772006),"POLYGON ((14.132936 47.062106, 14.147391 47.070575, 14.162319 47.07438, 14.172767 47.085312, 14.167744 47.088747, 14.153767 47.085991, 14.153803 47.094746, 14.149482 47.102446, 14.14282 47.106333, 14.140929 47.113085, 14.128227 47.11634, 14.130813 47.132475, 14.125599 47.135468, 14.121222 47.134459, 14.123269 47.145218, 14.145643 47.138926, 14.153408 47.146066, 14.180627 47.144056, 14.189427 47.148637, 14.195789 47.139166, 14.203387 47.13638, 14.237917 47.144932, 14.258499 47.136897, 14.251908 47.131732, 14.251633 47.124968, 14.242549 47.117014, 14.241192 47.102759, 14.237871 47.100936, 14.242166 47.085131, 14.248875 47.081209, 14.249841 47.071993, 14.257876 47.059738, 14.248247 47.051473, 14.237634 47.028006, 14.23502 47.025882, 14.224069 47.038103, 14.221864 47.049652, 14.21576 47.057388, 14.215266 47.062291, 14.202832 47.076568, 14.180627 47.064817, 14.162221 47.052932, 14.132936 47.062106))"
AUSTRIA,VC_08_AT,Murauer Beer,"RR 11, Austrian Alps",Murau (No: 614),LAU 1 not used in Austria – Scale therefore is „District“,POINT (14.196730069827513 47.100167118772006),"POLYGON ((14.132936 47.062106, 14.147391 47.070575, 14.162319 47.07438, 14.172767 47.085312, 14.167744 47.088747, 14.153767 47.085991, 14.153803 47.094746, 14.149482 47.102446, 14.14282 47.106333, 14.140929 47.113085, 14.128227 47.11634, 14.130813 47.132475, 14.125599 47.135468, 14.121222 47.134459, 14.123269 47.145218, 14.145643 47.138926, 14.153408 47.146066, 14.180627 47.144056, 14.189427 47.148637, 14.195789 47.139166, 14.203387 47.13638, 14.237917 47.144932, 14.258499 47.136897, 14.251908 47.131732, 14.251633 47.124968, 14.242549 47.117014, 14.241192 47.102759, 14.237871 47.100936, 14.242166 47.085131, 14.248875 47.081209, 14.249841 47.071993, 14.257876 47.059738, 14.248247 47.051473, 14.237634 47.028006, 14.23502 47.025882, 14.224069 47.038103, 14.221864 47.049652, 14.21576 47.057388, 14.215266 47.062291, 14.202832 47.076568, 14.180627 47.064817, 14.162221 47.052932, 14.132936 47.062106))"
AUSTRIA,VC_09_AT,Murauer Heumilch (transl.: hay milk),"RR 11, Austrian Alps",Murau (No: 614),LAU 1 not used in Austria – Scale therefore is „District“,POINT (14.196730069827513 47.100167118772006),"POLYGON ((14.132936 47.062106, 14.147391 47.070575, 14.162319 47.07438, 14.172767 47.085312, 14.167744 47.088747, 14.153767 47.085991, 14.153803 47.094746, 14.149482 47.102446, 14.14282 47.106333, 14.140929 47.113085, 14.128227 47.11634, 14.130813 47.132475, 14.125599 47.135468, 14.121222 47.134459, 14.123269 47.145218, 14.145643 47.138926, 14.153408 47.146066, 14.180627 47.144056, 14.189427 47.148637, 14.195789 47.139166, 14.203387 47.13638, 14.237917 47.144932, 14.258499 47.136897, 14.251908 47.131732, 14.251633 47.124968, 14.242549 47.117014, 14.241192 47.102759, 14.237871 47.100936, 14.242166 47.085131, 14.248875 47.081209, 14.249841 47.071993, 14.257876 47.059738, 14.248247 47.051473, 14.237634 47.028006, 14.23502 47.025882, 14.224069 47.038103, 14.221864 47.049652, 14.21576 47.057388, 14.215266 47.062291, 14.202832 47.076568, 14.180627 47.064817, 14.162221 47.052932, 14.132936 47.062106))"
AUSTRIA,VC_10_AT,"Osttiroler Mountain Lamb (""Osttiroler Berglamm"")","RR 11, Austrian Alps",Lienz (No: 707 = NUTS3: AT 333),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",POINT (12.750359282145826 46.82825421588072),"POLYGON ((12.709185 46.816803, 12.706436 46.818407, 12.704374 46.819611, 12.695363 46.82357, 12.705504 46.836412, 12.720983 46.832031, 12.728159 46.83669, 12.743099 46.835249, 12.749729 46.843522, 12.760327 46.843906, 12.795512 46.83353, 12.807896 46.826851, 12.801401 46.820701, 12.782274 46.825047, 12.772904 46.817322, 12.766661 46.818139, 12.756996 46.814001, 12.753219 46.818027, 12.747606 46.818901, 12.709185 46.816803))"
AUSTRIA,VC_11_AT,"Murbodner Potatoes (""Murbodner Erdäpfel"")","RR 11, Austrian Alps",Murtal (No: 620),LAU 1 not used in Austria – Scale therefore is „District“,POINT (14.66027778 47.1725),
AUSTRIA,VC_12_AT,Lungauer Eachtling,"RR 11, Austrian Alps",Tamsweg (No: 505 = NUTS 3: AT321: Lungau),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",POINT (13.866604347688343 47.141929699878126),"POLYGON ((13.988206 47.126467, 13.972429 47.127315, 13.958593 47.124625, 13.945211 47.135372, 13.936597 47.135332, 13.910149 47.123296, 13.901105 47.115824, 13.883258 47.109036, 13.87937 47.100219, 13.85646 47.100164, 13.843856 47.088031, 13.828326 47.082243, 13.822064 47.082248, 13.817227 47.087006, 13.784797 47.088055, 13.771752 47.106667, 13.770319 47.116943, 13.7728 47.119882, 13.766422 47.124132, 13.776977 47.131392, 13.78314 47.138993, 13.807111 47.143993, 13.804911 47.160288, 13.823375 47.163694, 13.829896 47.169319, 13.830232 47.179286, 13.842995 47.184221, 13.842749 47.193812, 13.851151 47.198879, 13.865526 47.220101, 13.866743 47.216194, 13.883043 47.204452, 13.900935 47.195338, 13.896423 47.185952, 13.897781 47.183293, 13.908556 47.183888, 13.915593 47.179354, 13.919597 47.172217, 13.943596 47.166536, 13.956983 47.161785, 13.970148 47.149912, 13.993421 47.142144, 13.995061 47.132304, 13.988206 47.126467))"
AUSTRIA,VC_13_AT,Mölltal-Glockner Lamm (engl. lamb),"RR 11, Austrian Alps",Spittal an der Drau (No: 206),"LAU 1 not used in Austria – Scale therefore is „District“. In this case, district = NUTS3.",POINT (13.543383237768081 46.77702332503806),"POLYGON ((13.546021 46.806795, 13.620291 46.775679, 13.606988 46.767762, 13.616329 46.758624, 13.604856 46.751005, 13.593744 46.749111, 13.58772 46.743475, 13.567145 46.752026, 13.542653 46.755755, 13.508937 46.745832, 13.502113 46.747403, 13.493896 46.754258, 13.51251 46.776665, 13.467806 46.794651, 13.470168 46.805705, 13.467829 46.810478, 13.475448 46.815865, 13.488235 46.811118, 13.496235 46.812399, 13.527996 46.797072, 13.546041 46.791691, 13.550391 46.798956, 13.546021 46.806795))"
AUSTRIA,VC_14_AT,Murbodner Beef,"RR 11, Austrian Alps",Murtal (No: 620),LAU 1 not used in Austria – Scale therefore is „District“,POINT (14.66027778 47.1725),
AUSTRIA,VC_15_AT,"Sheep farmers from Weiz (""Weizer Schafbauern"")","RR 11, Austrian Alps",Weiz (No: 617),LAU 1 not used in Austria – Scale therefore is „District“,POINT (15.648804607839635 47.20873958185875),"POLYGON ((15.675963 47.2204, 15.681381 47.20698, 15.668843 47.198714, 15.677212 47.189261, 15.667934 47.184875, 15.663894 47.18585, 15.659416 47.18693, 15.649682 47.1828, 15.644033 47.19083, 15.633943 47.194556, 15.634047 47.198838, 15.616794 47.195843, 15.623007 47.201146, 15.620444 47.205403, 15.622253 47.209055, 15.618842 47.211245, 15.620677 47.214798, 15.612272 47.216708, 15.605629 47.222918, 15.616735 47.225435, 15.614271 47.232561, 15.621622 47.226694, 15.637429 47.224, 15.646325 47.216946, 15.652887 47.227725, 15.663894 47.231449, 15.666513 47.232336, 15.675963 47.2204))"
